CHEMBL_ID,SMILES,IC50_nM,Relation,Assay_ID,Reference_ID,pChEMBL
CHEMBL1085940,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)CC/C(=C/c2cc(O)c(O)c(O)c2)C3=O)c1,4.94,=,CHEMBL1119333,CHEMBL1155460,8.31
CHEMBL1086007,O=C(CCOCCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1.5,=,CHEMBL1119333,CHEMBL1155460,8.82
CHEMBL1086245,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(C(=O)c3ccccc3)cc2)c1,5.4,=,CHEMBL1119333,CHEMBL1155460,8.27
CHEMBL1086246,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(Cc3ccccc3)cc2)c1,24.7,=,CHEMBL1119333,CHEMBL1155460,7.61
CHEMBL1086247,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccccc3c2)c1,82.6,=,CHEMBL1119333,CHEMBL1155460,7.08
CHEMBL1086248,CNC(=O)Oc1cccc(CN(C)CCCOc2ccccc2)c1,79.6,=,CHEMBL1119333,CHEMBL1155460,7.1
CHEMBL1098308,O=C(CN1CCCCC1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1,10.0,=,CHEMBL5235529,CHEMBL5233266,8.0
CHEMBL109869,CC1=CC2Cc3nc4cccc(F)c4c(N)c3C(C1)C2,35.4,=,CHEMBL644108,CHEMBL1133449,7.45
CHEMBL114059,Cc1cccc([N+](=O)[O-])c1,3.981,=,CHEMBL648291,CHEMBL1126157,8.4
CHEMBL1161714,Nc1c2c(nc3cccc(F)c13)C1CC(C2)C1,28.84,=,CHEMBL829159,CHEMBL1138734,7.54
CHEMBL1161905,CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2,0.43,=,CHEMBL3887855,CHEMBL3886477,9.37
CHEMBL1172913,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)(C)C1N2C,14.6,=,CHEMBL1176719,CHEMBL1177652,7.84
CHEMBL1173604,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)(C)C1N2C,26.1,=,CHEMBL1176719,CHEMBL1177652,7.58
CHEMBL1173605,CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CC[N+](C)(C)C12,25.4,=,CHEMBL1176719,CHEMBL1177652,7.59
CHEMBL1179697,CN1C(=O)Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21,0.4786,=,CHEMBL1664219,CHEMBL1649350,9.32
CHEMBL11833,CNC(=O)Oc1ccc2c(c1)OC[C@@H]1CCN(C)[C@H]21,30.0,=,CHEMBL1249049,CHEMBL1240490,7.52
CHEMBL1187434,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2,0.27,=,CHEMBL4133383,CHEMBL4130418,9.57
CHEMBL118752,Nc1c2c(nc3ccccc13)CCC2,56.0,=,CHEMBL1119333,CHEMBL1155460,7.25
